id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/18edf88d-31bf-441f-8853-e4122f71cabd,H 854,An Act adopting the Federal Uniform Trade Secret Act,['bill'],[],190th,Massachusetts,lower
ocd-bill/6153bb55-82f4-4acf-a202-3b38fc7c6bdd,H 4812,An Act to ensure compliance with federal standards regarding the handling of federal tax information,['bill'],[],190th,Massachusetts,lower
ocd-bill/949bdbc6-b01d-4ee6-b1f8-48e27a2f8f7d,H 1066,An Act providing signature authority for psychiatric nurse mental health clinical specialists,['bill'],[],190th,Massachusetts,lower
ocd-bill/d752c078-f3b3-46e9-96b0-7578b9c647e4,H 208,An Act relative to simulcasting and racing,['bill'],[],190th,Massachusetts,lower
ocd-bill/95573cc3-b687-4c87-8138-a58a2615986a,H 2512,An Act relative to previously licensed gun owners,['bill'],[],190th,Massachusetts,lower
ocd-bill/93cd002f-e552-4e5a-93a8-0d642c0410ee,S 80,An Act relative to the smart growth housing trust fund,['bill'],[],190th,Massachusetts,upper
ocd-bill/808744fa-916c-481a-8d38-182813ee9258,H 1720,An Act providing for transfers of land in Westfield,['bill'],[],190th,Massachusetts,lower
ocd-bill/3c949b46-bcab-48b2-8711-13f7ac838aa9,S 1970,An Act relative to rapid transit systems,['bill'],[],190th,Massachusetts,upper
ocd-bill/a01fc592-6696-46db-befa-421f5b21be42,H 932,An Act relative to the Massachusetts homestead law,['bill'],[],190th,Massachusetts,lower
ocd-bill/5c5c40a9-bab5-4c2d-8efb-b884a22400bb,H 3556,An Act relating to digital citizenship and media literacy in public schools,['bill'],[],190th,Massachusetts,lower
ocd-bill/8755ce7d-574a-4d97-809c-d775da984d8a,H 656,An Act relative to cost certification for certain housing developments,['bill'],[],190th,Massachusetts,lower
ocd-bill/5d309445-b50f-4abe-a80e-622fabe3c219,S 1962,An Act to prevent driver distraction and motor vehicle fatalities,['bill'],[],190th,Massachusetts,upper
ocd-bill/92a82bfb-b794-4fa1-82b4-aae1488ce10b,H 716,An Act allowing local housing authorities access to criminal and other records of tenants and prospective tenants,['bill'],[],190th,Massachusetts,lower
ocd-bill/80e3d0cf-9389-4d50-81dc-18327e6e096e,S 248,An Act promoting civics education,['bill'],[],190th,Massachusetts,upper
ocd-bill/ec0c23b2-f53e-49d5-b787-d7c831596a4f,H 2878,An Act relative to coding and computer science in schools,['bill'],[],190th,Massachusetts,lower
ocd-bill/aa7d52b1-f5f9-4a43-a6ef-e48ea96e7583,S 1877,An Act relative to solar net metering fairness,['bill'],[],190th,Massachusetts,upper
ocd-bill/7df99696-9722-43d1-84f8-ed77d23107c4,H 1010,An Act relative to the definition of 'part-time',['bill'],[],190th,Massachusetts,lower
ocd-bill/343626fa-ff3f-4958-bbcc-8a9f30772627,H 2054,An Act relative to school projects,['bill'],[],190th,Massachusetts,lower
ocd-bill/971cd2ed-d67c-4258-a87e-a5576899c485,S 555,An Act requiring mental health parity for disability policies,['bill'],[],190th,Massachusetts,upper
ocd-bill/1c6e1970-0606-4b79-b94e-77fff0a726be,S 1791,An Act to provide long term care to injured not at fault,['bill'],[],190th,Massachusetts,upper
ocd-bill/59c2f875-94f5-4d8c-a8c6-2ed6d32ef138,SD 2313,An Act relative to early literacy education,['bill'],[],190th,Massachusetts,upper
ocd-bill/14be730a-e1d6-485d-ad85-682c98bd107c,H 3953,An Act relative to the sewer construction and private way maintenance and improvement fund in the town of Barnstable,['bill'],[],190th,Massachusetts,lower
ocd-bill/371c31c8-a196-47a6-b227-0289a10610d4,H 4864,An Act authorizing the Town of Rehoboth to transfer a conservation easement on a certain parcel of land,['bill'],[],190th,Massachusetts,lower
